Puzzle,Solution Count,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
....1.......4.5.6..43..7...27..415......6....4.19.....3.2...45.....26.9.......1.7,1,25,38,14,1,3,2,0,4,16,Expert,
.9.24..6.....381.7..........47...23..8....69...61.27...7.6.4...8..79........8....,1,26,46,9,3,0,0,0,0,0,Intermediate,
..4...9......7....2514.........4.5.8........2.85...3943....2.71....8....19.......,1,23,43,15,1,0,0,0,0,0,Intermediate,
9458....2.8..9............7.3.5..4..2.9.8....45.37......3...9.....72...5.2..563..,1,27,31,22,2,0,0,0,1,2,Expert,
..8...9.4..1....5..4....3.1.....4.7.......8..4..829..58...92.......83....25.4...3,1,25,45,11,0,0,0,0,0,0,Easy,
.1...635..5.....8.9.8..34..6.5......1...2......9....34.8...........5.2..4.38....6,1,24,46,11,0,0,0,0,0,0,Easy,
..6.52...8....34..9.34...85......3..4.8.6.........19...59..8.426...3.....81......,1,26,43,11,4,0,1,0,1,0,Expert,
53..6.......57..4647.....318.......7.1...8...3....12.5....3.....2....873...4.....,1,25,35,20,3,0,0,0,1,6,Expert,
...813....1.6.4..8......7.........5.8.......2....45....5.1..4..6.7...2.1..4.6.37.,1,24,40,17,0,0,0,0,0,0,Easy,
61.3.5.9.3....8.7..8..61.....95...47..3..6.5..67.9..........8...5....36..........,1,25,47,9,0,0,0,0,0,0,Easy,
.3..165..5...89....92..7.1.3.5.....4.2......76.9......2.87......6..3...2....6...1,1,26,42,13,1,0,0,0,0,0,Intermediate,
...26...3.32.15....57.....6.4.1..7...93.4..5...1.....4..6.97...4............5..4.,1,25,40,16,0,0,0,0,0,0,Easy,
4..2..9.39..81....83..7....3....729...1...43.2..1..7.8....298.7................6.,1,26,49,6,2,0,1,0,0,0,Intermediate,
.45..28....37..5.......9.2......3...7.6.....5......3.7..76....4..2.5.....5849...6,1,25,37,19,0,0,0,0,0,0,Easy,
.....3.8.2.......1......4.9....36.....1.2....6.49...53...8..92.98..6.......4..1..,1,23,39,19,0,0,0,0,0,0,Easy,
..3.916.....8..1..94.7..8...7.........6..8.4.....14...7.....3.65...6...7.8....49.,1,25,44,12,0,0,0,0,0,0,Easy,
.7......9.5..82..42....3......4...73..3....8.....5.94...8.4....7.52......9...6.2.,1,24,44,13,0,0,0,0,0,0,Easy,
....1...3...57.6.1..8...7...5.....399.3.451.....9.3.64.7.......1..7.....4.9....1.,1,26,32,21,2,0,0,1,2,0,Expert,
..253....57...6..83.8..4....4....2......5..3.7..2..........26..83......4.679.....,1,24,44,13,0,0,0,0,0,0,Easy,
...4....3.6..1.....1.2..94.4..75....9.1....2.7...3.5.......4.52......61....6.....,1,23,44,14,0,0,0,0,0,0,Easy,
42..1......9....4..5..9.17...8.73.2.......8...7..5431.......4......8....53...17.8,1,26,38,16,3,0,0,1,1,0,Expert,
....4..9.59.7..6..7.6....8.4.8....2...2....1865...87........9...47.....12..1.7...,1,26,44,11,0,0,0,0,0,0,Easy,
9.6..4...41..3.2..3.825...6.6....384.4.....69...3.........2...3...9..4....9.....5,1,26,40,15,2,0,1,0,0,0,Intermediate,
21.........7..5...35...19..5.4..31...7..8.2.3..3..7......4.8.7.9...3........523..,1,26,39,12,2,2,3,1,4,8,Expert,
.74..6..16.........1.....752..8....7.6....8..9.5...426..8.......9.72....7....9.1.,1,25,35,18,0,1,2,1,3,2,Expert,
.......9.4.5....6..3...5....63.14....4..3...2.9.2.67......9.5......41.299..65.4..,1,27,44,10,1,0,0,0,0,0,Intermediate,
.6.1.48..78.....14....6.....79..61.84.58...........79.....2...7.5....26....4..5..,1,26,37,18,0,0,0,0,0,0,Easy,
...7....6.364.......7.329...2....49.........74..5..21.....7..6956......1...25.34.,1,27,38,16,1,0,0,0,0,0,Intermediate,
.2..5.4.37.4..35.6..8.6...7.....7....75.1.2....2......5...2183......6..........1.,1,25,45,11,0,0,0,0,0,0,Easy,
...71..2593........5.....7....38.....8.2.4..3.....1.8..725...1......7.......3..94,1,24,41,16,0,0,0,0,0,0,Easy,
...97....7..8.354....2....757.......9..72.8.32...86.9...4....86...............324,1,26,36,19,0,0,0,0,0,0,Easy,
.325.....1......5....8..1..954.2..1.2......6.8.......968...9.....1.6.5...95..1.8.,1,26,29,26,0,0,0,0,0,0,Easy,
.6..7..54...3...........92..26.8....43..6.......5..4.3..86.........5.2.82....95..,1,24,44,13,0,0,0,0,0,0,Easy,
1.69.5.....2.......9...3.75...15..39....62...4..7..2.........9...32....161.4.....,1,25,53,3,0,0,0,0,0,0,Easy,
.5..86.428..7....54..15......1..7...5749...8.......2.668...1...........8......9..,1,25,43,12,0,0,2,0,1,0,Expert,
81...9...........73...8....9...6.....3.2....16..13..7..97.2.3.....7..16...4.....8,1,24,34,23,0,0,0,0,0,0,Easy,
59..7..4...76.1.8...6.4...3....1.5.......5497...3.4........6..83....8..59........,1,25,39,17,0,0,0,0,0,0,Easy,
..3..2.8..85.432......1...72.4..7.61.6....53...1.......37.....4....7...561...5...,1,27,41,13,0,0,0,0,0,0,Easy,
...19.5......3...2.....8....3..7......8...925.1.2.....9.3..4...1..5..4.94..72..5.,1,25,41,13,0,0,0,1,2,4,Expert,
....3....7.........36..21.7.5.42...3..1..64.......7...6..2.57.....6...9.91.....3.,1,24,53,4,0,0,0,0,0,0,Easy,
..8.1.26...2.....546......9.........3.54.....821...6..1.9........3.84..1..4..2.5.,1,25,38,18,0,0,0,0,0,0,Easy,
.5687.......5...2......9....85.4.....23...49.....6...5.48..2.......8..3..3.4.5...,1,24,27,29,2,0,0,0,1,0,Expert,
7...1.....2...5..8...8....9.3.7........43.9..9....2.7.3...594...72.......1..4..2.,1,24,39,17,0,0,0,1,1,0,Expert,
....5..76..6137..82......9..........8.79.1...1....6....2.7.3..9.9.....8...3...15.,1,25,48,8,0,0,0,0,0,0,Easy,
..9..5.1.6.....7.58..47..9.4.19....67.2.5..4.......2.1........4.8.....57.....9.8.,1,26,46,9,0,1,1,1,0,0,Intermediate,
.5...4...7.6......8.25...3..3..5.42..1.3.8.6...46..1...........4.5.....616...38..,1,26,36,19,1,0,0,0,0,0,Intermediate,
.5..6...9.....2..821.87.6.........659...3.......9.8..2......8...6.5.173..9.......,1,24,34,23,0,0,0,0,0,0,Easy,
..1..4..9.24.3..51...5...2....47...........1.18..2.5....79..1...4....9.5.......87,1,25,29,26,0,0,0,1,1,0,Expert,
.5..3.2...4....5..1.8.2.4......1....98.....64.62..8..9...1..9..8........613....8.,1,25,43,13,0,0,0,0,0,0,Easy,
.3.84.9..7........2...63.479.......3..6..8....87..2..6....5..2..6.28.5.....4.9...,1,26,42,13,5,0,1,0,0,0,Intermediate,
6325....4....4....1.9.836...56..8...8.........91..6.5.31......8..4...2..5....43..,1,27,40,14,0,0,0,0,0,0,Easy,
..2..1....6.5........43...53...1...9...895....4.....2..381..5..154..9........2...,1,24,40,17,0,0,0,0,0,0,Easy,
...1...5..1..96.48.53.24....4..6......6....84.3....9.25..9........24.....9..85..3,1,27,40,14,1,0,1,0,0,0,Intermediate,
.....3.2..841.76...1...4..5.5.4.13...21................483...1.......5.35.6...48.,1,26,45,8,2,0,0,2,2,0,Expert,
.....98.2..438..97........4.2986..3.....5..8.....24..9....9.57.........8.7.64.9..,1,27,44,10,0,0,0,0,0,0,Easy,
.6..1.......2.......2.7.....29....875.......14..58..2.6.5..89.....6.1.7....95..48,1,26,41,12,2,1,0,3,2,2,Expert,
..21...7..4.....19...........4..2.......61..37..34.5.132.....4....6.7....5...9..7,1,24,44,13,0,0,0,0,0,0,Easy,
.....7.1.83.9..6....95...7...8.9...6......35.1.6............2...6..3.8..2....8..7,1,23,46,12,0,0,0,0,0,0,Easy,
...2....99..1.3.74....4...2.75.......3.4...17....97........59.3.82..4.5........21,1,26,34,21,0,0,0,0,0,0,Easy,
..8.....4..71..........89...46.1......18...7....27....6..9..1.3.83..........26.49,1,24,47,9,0,0,0,1,1,2,Expert,
.....3..6.71..........61.....6.7...4.9...82..84..2.9.3...3....24......8....29.74.,1,25,37,19,5,0,0,0,0,0,Intermediate,
.1..25934......1.7.......26...61.....5...2..9.439.7......4...7129......3..7......,1,26,36,16,2,2,3,1,3,0,Expert,
...8...39..7......2.5....1...84......4...7....1..93.7...3........1.7.8.292.......,1,22,39,20,0,0,0,0,0,0,Easy,
5...7.9.6..74.9.1...............71.9.......7...4....8....9.28...15......2.8.5174.,1,25,47,9,0,0,0,0,0,0,Easy,
2..5..9.8.15...........9....7...62........36..58.....159..28.16.6.9....7.2...1...,1,26,43,12,3,0,0,0,0,0,Intermediate,
.7.51.....192.8..6.2...7.........179..1.356..8.....5...8..51..2.....93.1...3.....,1,27,40,12,1,1,1,0,2,4,Expert,
.....8.4....2..3..543....8..1...6.....2...53...6.....8.5.1..42..7.........87.2...,1,23,45,13,0,0,0,0,0,0,Easy,
3.......46..5.2..3..5.4...84...5..2..3.6..1..81.9..4..9..3.6.......8.....6...9...,1,25,34,22,1,0,0,0,0,0,Intermediate,
.......4.7....8.51..6.......4.5.182..2..73...5.74.....45....612......58...3....7.,1,26,49,6,0,0,0,0,0,0,Easy,
...457...25...6.4.....2.....4936.72....8......6....5.9.......6.326.9.4..7...43...,1,27,35,17,2,0,2,1,2,0,Expert,
...6.9..4.4.......9.573..2.......549......1...6.24..7........3....1627.......7..5,1,24,55,2,0,0,0,0,0,0,Easy,
6.51.............8...42..514.1...3.6..6..3...32..8.....4.2.7...5.8.....217..4....,1,26,43,12,0,0,0,0,0,0,Easy,
.........283........5.734...1..34.....4...2.1...1..3..9.238....54..9.83...7..5..2,1,27,44,10,0,0,0,0,0,0,Easy,
.......62.6...157....7....8.81.9..23.7962..1...61..7.............7...9..31...62..,1,27,36,16,3,2,3,0,2,2,Expert,
32.16..7.....83..1...9.5..867.......25....3...........91.2.....5..3....6.3.61..95,1,27,51,3,0,0,0,0,0,0,Easy,
5....6.4...35.98..........918..74...7.6.......4...8....7..3..8...4....9639.......,1,24,35,22,0,0,0,0,0,0,Easy,
.5..3.947........59....8..........86..2..6.73..4.......9..8.....7.3..65...3.74...,1,24,40,17,2,0,0,0,0,0,Intermediate,
7....98....5..2.1..8........2..18......9......3....659...2...8...98..73..7..632..,1,25,35,21,1,0,0,0,0,0,Intermediate,
......5.71...........9....25..8..4..8.379.....9..318...1......47..4..1.9.24..37..,1,26,44,11,0,0,0,0,0,0,Easy,
..179.4..3.6.5...17...3.9.2..56.32..6.7....9......2.4....4..31...........6....5..,1,26,38,17,0,0,0,0,0,0,Easy,
4281....9.......5..19.87........98......7.....93.4...2.........3.78.59..14..9....,1,25,36,20,0,0,0,0,0,0,Easy,
.9..71...2....5...5...6.8...7..18..59...27......6..3...8.1...927.29............86,1,26,31,24,3,0,2,0,0,0,Intermediate,
.4....3..........7..1.4.52.2.........7.92.84..9.......389...7.1..417.....1...325.,1,26,37,18,0,0,0,0,0,0,Easy,
..8.6.4.........8..439....13.57..............78.5413..9..8...5....3.41..61.......,1,25,33,19,1,0,1,1,4,4,Expert,
.1...2......4..5....38..16........3.5..63.4.9.4..58.2........9..5..81.4...12.....,1,25,34,21,1,0,4,0,1,2,Expert,
......83.3.67.......15..4....41.....5..4..27....38.6..4....1.2.........8.3.6..75.,1,25,42,13,1,0,2,0,1,0,Expert,
.9..41.......6.4..1......3.......57...2593.......1.....73..2.....4....5.2...5.1..,1,22,48,11,3,0,2,0,0,0,Intermediate,
....9.24.7.58.46.........7...45..81..8.......6..2.....2.6.75....5..8.1....7.6...4,1,26,39,16,1,0,0,0,0,0,Intermediate,
......2..36.......7......896......4..9...6..8.5...83..9..6...572.....8....73.946.,1,25,36,19,0,0,0,0,1,0,Expert,
......325..2......3........538..71..7..6....2.6...3..44....56.1...37.8..67...8...,1,26,50,5,1,0,0,0,0,0,Intermediate,
.7.9..2...1.....7.....18.6.8.2.9.........76.9...5.2..8..9.5.8..5..17.......6..53.,1,26,41,14,0,0,0,0,0,0,Easy,
...2....1.8...5......94..5.81.3.9.......52....534.....2....49...3.1....2.9.8.3.6.,1,26,44,9,4,0,1,0,2,2,Expert,
4...7..5...26...87....2...91.5....6..94.81..2.8.......92..6.1..........684....9..,1,26,33,22,1,0,0,0,0,0,Intermediate,
........39....316....56.7...23...8.9.57.3...2....8...1..........3.815...61..2....,1,25,38,18,1,0,0,0,0,0,Intermediate,
36..2.......5..........6....8.21.3..1...45..94.....61....4.8.3...9.3.....2.1....5,1,24,44,12,0,0,0,1,1,0,Expert,
......217129...6.....5....998......2..1.4.....7.9..5..5.71.....81.6...2........54,1,26,39,16,0,0,0,0,0,0,Easy,
6.8.9......2......43..6.9..35...1....16........4...8.5....56.9....4.263.2..8.....,1,25,44,12,0,0,1,0,0,0,Intermediate,
........96.4.8.5.3......748.7.59........31...51..4..86.5.4......9......58..6.....,1,25,39,17,0,0,0,0,0,0,Easy,
.8.4.....2...37...3..6.2......1.5....2....1.645...6.....4..86.3.67.2.58..........,1,25,41,14,2,0,2,1,1,0,Expert,
6.1.5.9...9.4...2..34.....8.5.1.9........51.6...8.3.4..1.6..5...45..2...........2,1,26,37,17,0,0,3,0,1,0,Expert,
..5..7...86...1....1......5.8.....63....4....43..6..1.75..36..93..1......918.5.3.,1,27,38,14,1,1,1,1,2,0,Expert,
4....1........36.57.26.9...9..4...5..6..5.2.91.....3.7..1.7.4........9.........1.,1,24,45,12,0,0,0,0,0,0,Easy,
.6...5....1..6758..28.....1..478...5......2.9..1.....8...14.....9..764...........,1,24,39,18,0,0,0,0,0,0,Easy,
....4...........8.83....6....1........2568.4.......5.24..2.7.5.2..3....43.54...27,1,25,38,18,1,0,0,0,0,0,Intermediate,
...3..9...5..76...2..48.3...8.......6.3.2.45.47.6...9.5.........269...3....7.2...,1,26,35,20,2,0,3,0,0,0,Intermediate,
1......8..6...23.....4.9.....931...5.51.2....8.6......5......43.........42..68.1.,1,24,37,20,0,0,1,0,0,0,Intermediate,
.19...2..25..7....8...........8...6.....4..914.1.5.....24.158.....6...5.5......74,1,25,31,25,0,0,0,0,0,0,Easy,
.5.........1...28.2.6.....3.63....1.9....1.42.8....6.5..4.9.86...8..2........61..,1,25,41,15,1,0,0,0,0,0,Intermediate,
........9.9..2..6......5..8..9..3......2..15.....16..........4.21..4..863.5.6..1.,1,23,40,18,0,0,0,0,0,0,Easy,
3.....785.......3.6...5...9.691.......15.7....3...92......8..5..2....1.....76...8,1,24,51,6,0,0,0,0,0,0,Easy,
1.4.386.......74.86.74.......1.5....7..3....5.9.67...4......9..5.8.....7......1..,1,25,43,12,2,0,2,0,1,0,Expert,
2.1.....6.37..8...68.......19...7.....2..9.8....4...1.....7......3..2.744.9.8.6.2,1,26,36,19,0,0,2,0,0,0,Intermediate,
......8.49......3.8.67...........12......9.7363..214....4.7...97.9.6....3..9...82,1,27,30,24,0,0,0,0,0,0,Easy,
..45...9635....1..9..........8.....47..1.8.......6..5..319...8....6.......674....,1,23,38,19,5,0,1,1,1,2,Expert,
....4.6.1...8.6..9..2.59.7.7.........2.1.5...54........1..64.....6.8.21.4875.....,1,27,51,3,1,0,0,0,0,0,Intermediate,
.....583.....37..113....9...57.......8...9.......6.....1549.6..3...5.18..6.87....,1,26,41,12,5,2,1,1,2,6,Expert,
43.......5.....1.2.8....59..........9.6....1.14..3.826...58...4.....69...9...4..8,1,25,43,12,0,1,1,1,1,2,Expert,
..4...26.2....8.............8..451.2.......7.1...2.45....6..74...6..2...5.3..1..6,1,24,40,17,2,0,2,1,0,0,Intermediate,
.7.4......6.......28...756.......2.6...534.1.....1..8...31287......438...........,1,24,46,11,3,0,0,0,0,0,Intermediate,
...8...62....3...86.2.9....8....35....54198.31.......9......6.4.........2.9.8...5,1,25,36,17,6,0,2,0,3,8,Expert,
1.7..94...8.4.......3..8..7........42.9.1.67........286........7...91236.......1.,1,25,34,22,0,0,0,0,0,0,Easy,
.74..5...3.........6..94..7.....29..8...5.6.3946..82....5......28....49........2.,1,25,41,15,0,0,0,0,0,0,Easy,
61........4...82..9.85....65...8634.....9....8.3..4..2.....5...38.......2..6394..,1,27,52,2,0,0,0,0,0,0,Easy,
13......7....3.8.172..869.3....792.....2.........684..2...417.6......18...68.....,1,28,32,18,0,1,5,1,3,14,Expert,
..8.1..5.....34.9834.5...1.4...8.9...16....8.9.2.......2.3..1.6.6.....4...9.....3,1,27,53,1,0,0,0,0,0,0,Easy,
8....7961.1.4...5.7................3.5...3.746....1.....75..38.49....71.....76...,1,26,42,11,2,1,0,0,2,2,Expert,
...6..93....9..4.5..9..3.8.8..754.....3....6..1....85..9.....48.51......34....1.6,1,27,46,8,0,0,0,0,0,0,Easy,
79...62...56.....1.2....69...........6.59.1.2...4.237..1423........4.......1....5,1,26,37,17,2,0,2,0,1,0,Expert,
14...5....5...7...3.6..........5.4.2.3...4.7..2.....936..7.2..441......6.....9..5,1,25,40,16,1,0,0,0,0,0,Intermediate,
.7.........3.....1.5..9..875..8....2....2...4..8..153.1.7.......9.3...7.....5.2.9,1,24,40,15,3,1,3,0,2,2,Expert,
.8...21..7.....8.24..1...7.6.24.1.......7...8..12.3....63....8.15....7.3.........,1,25,27,29,0,0,0,0,0,0,Easy,
....97...8.6..3.7..9.8.....15.4.....9.4..8.......1..3...83.....76..4...8.4...5...,1,24,43,13,1,0,3,2,1,0,Expert,
.8..5.29...4..8......4....5....72.........7.....94.528..63...72........345..6.8..,1,25,46,10,0,0,0,0,0,0,Easy,
6.......525...9....19.4...87.4..5.61.9..6..8....7.24.......76.....4.............7,1,24,39,17,2,1,1,0,1,2,Expert,
9.......5....32.6.....4....1.....6.86.4..3.9..2.5...3.29..54.....5..1.84.......1.,1,25,52,4,0,0,0,0,0,0,Easy,
4.8..2.....6.....9.2.......7....1..6...2.....54...9......42....17.6.58.4.8.9....5,1,24,48,9,0,0,0,0,0,0,Easy,
.....46.8..3..6..1.......7.5....19..9...6.7....793...6......1..71....48..86....35,1,26,42,13,3,0,0,0,0,0,Intermediate,
2...3...7..6.............3...13.25..5.46..9.....79...636..7.4.............7.6..19,1,24,49,8,0,0,0,0,0,0,Easy,
..54......9.6.57.4.6..7..231....7....7.26....2...3...6....4.61.............591..7,1,26,38,17,0,0,0,0,0,0,Easy,
5..419.......2..9....5....7........6.36...7...97.34..1.5.2.3.19...1.......1745..3,1,28,34,18,2,0,4,0,1,0,Expert,
.81......9.........7.9........416...8...3...7..9.8..45.3..6..1..1...46.......7..8,1,23,51,7,0,0,0,0,0,0,Easy,
1......42....7....4.98.....29.....677.4..92......6..........48...198.7.3.43...62.,1,27,47,7,0,0,0,0,0,0,Easy,
...7.1..2..1.3.8.62..9..7....83.9..47.62.....19..6...8.......9.......4...8....6..,1,25,35,21,0,0,0,0,0,0,Easy,
.3.....52.2.41...6....3....2........8.....41........8...4.2.7...1...5.3.3.8.67...,1,23,40,18,0,0,0,0,0,0,Easy,
..6..3..8.......7.....1..9..4.82....7.......3...1.9...41...6..79..3.84......9..62,1,24,47,10,0,0,0,0,0,0,Easy,
..7.3....2.......1..1428..9...7....849..8...2.....4.9..35...147..8.........5.1...,1,25,41,14,5,0,1,0,1,2,Expert,
.2...7.1.7.9....6413.6....94....1.7.....3........6..8.2..14...7...8.....98...3...,1,25,46,10,3,0,3,0,0,0,Intermediate,
......3..2.87.5.......896.....89.5.75.72....4.......3.......4.9...53..2.8....2...,1,24,55,2,0,0,0,0,0,0,Easy,
......28..5..8..1.1.......797.2..3..84......92.........9.......4..71..95..1.237..,1,25,37,19,0,0,2,0,0,0,Intermediate,
5.6...........9.1.37..5..2.4.3.....6.2..653...5.........5.4.1.9.9...625.2.....4..,1,26,38,15,0,0,2,0,2,4,Expert,
.4.98..3.....6...8...2.54...69.....7......5.9.........4..6..8..5...97.63..6.3....,1,24,43,13,1,0,0,0,1,0,Expert,
..7..5....9......7.846...9....9..5...1..6.92..2..57.64..1......86....4..9..8.....,1,25,49,7,0,0,0,0,0,0,Easy,
.8........41.8.6.25..7..18....2.98...9.15..2...4..6.......9.51....4.......58..24.,1,27,43,8,2,0,2,1,3,2,Expert,
8....94.....8.2..7....4386..8..9.....17......42....3......1...3.74......3..7.81.9,1,26,39,16,0,0,0,0,0,0,Easy,
..7.6......59....4.6...7..8....78.....94........3....28..2..4.6...5.47...9..8....,1,23,31,27,0,0,0,0,0,0,Easy,
6.5.......47....1.3..2..6...1.6..3..2.38...5..6...54...765.8...4.2.....8.5......4,1,27,41,13,0,0,0,0,0,0,Easy,
....4.8.6....1....8.5..3...3.....9..5.9.6..1..815...6..1...6..2..43.......3..85.9,1,26,29,26,0,0,0,0,0,0,Easy,
2..........5......4..2.6...5..4.8....1.......764.1.2...21..486.....59.1.8....29.4,1,26,35,20,4,0,0,0,0,0,Intermediate,
....26.....3...6.......3.18........1...3..896...8.1375.7.9...8.9.5.....7..86..93.,1,27,44,10,1,0,0,0,0,0,Intermediate,
..89......79.2.....6.3........2.67.88.4.9..6..1...4.9..3.1..8........2.7...6.7...,1,25,33,23,0,0,0,0,0,0,Easy,
.1...478.....9..34...........8.....93.62....74...67..............7.4.8.66291...4.,1,25,41,14,3,1,1,0,1,0,Expert,
.8...49.....3....43.....6..5...97.......46.8....2.35...36..5......9..25...87..3..,1,25,41,15,0,0,0,0,0,0,Easy,
............2....4.....459..25.1..6....8....5.8.6.3...85....62..12...4...961..3.8,1,26,35,20,1,0,0,0,0,0,Intermediate,
........1.6...2.......7.4.8..27.5...4..1..........91577....6..5....8.7.995.....14,1,25,39,16,0,1,0,0,1,0,Expert,
...1..7.5.1.5...4...6..81...647.53.93.1........78.1....9..........4...........693,1,25,50,5,1,1,2,0,1,2,Expert,
8432..9..9...6.8...7.....4.6.8...............12.8..3.9..1...784....2......4..92.1,1,26,44,11,0,0,0,0,0,0,Easy,
.6.3...5897.........1.4.....8..5.3.....6.....1.59.7...7964...1.4...............75,1,24,53,4,0,0,0,0,0,0,Easy,
.....162.8...795...42..6....7....4.9..8.5..6..2.7....5.97......1.......746.......,1,25,47,9,0,0,0,0,0,0,Easy,
8.57....4........1....84...3.....8........519....19.466..4...78..15...3.9....8...,1,25,46,10,1,0,0,0,0,0,Intermediate,
.....15..4...5..9.....6.4.12...4.6.3...7............1.9....472....2.9.....3....6.,1,22,45,14,1,0,1,0,0,0,Intermediate,
37.8.1.9.9.......5........85.24.3...4.........3..59.24..4.12...2..39...7.8.7.....,1,27,39,14,3,0,0,1,1,2,Expert,
3.8..27.9....83.2..9.6...3..7.5.....4.68.....92..47........5.9........7...5...3..,1,25,52,4,0,0,0,0,0,0,Easy,
.....9..8....7........327...14..8....2.9......9831..6.1..........3.4..87..97.62..,1,25,32,22,4,1,0,1,2,2,Expert,
28...5..3......6...674.........87.1............421....3.......44.1..2.7......3.85,1,23,42,16,1,0,2,0,0,0,Intermediate,
5..1..........8.......9..2......7..6.1...67...2......4.82.749....69....1.942....5,1,24,48,8,1,0,3,0,1,0,Expert,
...82..7..9.7....3....369..7..5.3..8.......39..8..2........7.5..43....2..7..5...6,1,25,35,19,5,1,1,1,2,16,Expert,
.24.651....5.1...478...4..9.....7..........9..9......5...8..71.6..27...8.......46,1,25,47,9,0,0,0,0,0,0,Easy,
..8.7.95..4......3...56..7.7...4.6....9.36..8..1.8..39...1......95...4........5.7,1,26,46,9,0,0,0,0,0,0,Easy,
...4.........86..1..4...9.......4.6.8...2...5.3.5.9..4..6.9..1.......62...12.5.93,1,25,41,15,0,0,0,0,0,0,Easy,
......6.22.61..8....8.7.39...........3...7.1.6..934...........6..4..9.8..7.41....,1,24,37,20,3,0,0,0,0,0,Intermediate,
....6.....2.....53......1.9..38.....7.5.9.....16...2.716...2.7.5.....8.6.....3..1,1,24,33,24,0,0,0,0,0,0,Easy,
2...5.4..7..8...5.1...473.....4..8...3......7.189....5.....9..1...5...8....3...9.,1,24,36,20,2,0,0,0,1,0,Expert,
28....13....52.4....4.3..7..13.7...8.62.1.5..4...5.3....7..6.................786.,1,26,41,13,2,0,3,2,1,0,Expert,
......4.........7..43.71....5481.......9..52..7153......7....49....5..1.....9.8.7,1,25,34,22,2,0,0,0,0,0,Intermediate,
6..59....3.1.6....5..2.1.......7.96..1...6..7.3..5....9..4..........2..1..2.3..5.,1,24,41,16,0,0,0,0,0,0,Easy,
.6.9.4....5..7.......3..5.649....7......4..1..3.1.9..5..56..1..9..23....3....1...,1,25,38,17,1,0,1,1,1,2,Expert,
7....6..396.12...8..1..84..2.7.9...4..8..7..6...4..3.......9.......1..2.....3....,1,24,40,17,0,0,0,0,0,0,Easy,
...5.........2..3.8...7...4..8..2.1..2.3.......39.4.2.5.1.3...97....8.4...9...1..,1,24,46,10,3,4,3,1,1,2,Expert,
.1...934.....5.....7.1.3.5..........3..8..5....834.19..9.....2718.......7.5...9..,1,25,42,12,1,3,5,0,2,6,Expert,
.2.7.........29..1..8.54....1...7.......8...3.74..3..5..3.7...4..1.48..99....5.32,1,27,38,16,0,0,0,0,0,0,Easy,
27.8.6...4...231..1........612...5...8.2.7.....4.8...3....34.1....6..4.8.........,1,25,45,11,0,0,2,0,0,0,Intermediate,
.48......9.....6....27.1.854.....7.8...87..2..6...4..9...185......26...........6.,1,24,41,16,0,0,0,0,0,0,Easy,
....9....1..8...3..5.7.3..9........8....47....93.2.74.9......1782...9..5...3..8.4,1,26,37,17,1,0,2,0,1,2,Expert,
...14.........5..2..........5.68...14.2.5.8..6..2..4.9....2.1...89.....614..7..85,1,26,37,18,0,0,0,0,0,0,Easy,
..5...9...9...48.38..5..4.....63.....83...6.2.5....3......4...7.2......8...79....,1,23,38,20,0,0,0,0,0,0,Easy,
..6...432.......75....3.9......2.6.....4...5.1..9.57.....2.1....1..9..46.52.76...,1,26,37,18,1,0,0,0,0,0,Intermediate,
...536....5.2.7....4....3....29.....4.3.6...71..7.....9.......46...2...523.4.59..,1,26,23,31,0,0,0,0,1,0,Expert,
5.3..29..7..3....6..2...3.49....36.2.4.69.5.......8.........8.....9.7....6......9,1,24,41,16,2,0,5,0,0,0,Intermediate,
............73.6........5..93....46.7........8.5...32942.8.....67.5...3.3.9.7..42,1,26,55,0,0,0,0,0,0,0,Simple,
.5......7......49.........5.4..95.3.6....7.4.52...1.79.6.........73...12...1.96..,1,25,56,0,0,0,0,0,0,0,Simple,
5296..18...4.38..9.6.....5......63...15..........8.24.4.6..3.........8.....1....6,1,25,37,18,1,2,1,0,1,2,Expert,
....7.......8.96.....2.3....8....7.6....372.16.1.2.53.329..58..5....6......9..3..,1,27,54,0,0,0,0,0,0,0,Simple,
..3..84...18.4..........9.........4...1.6.837....13..6...439..8...58..1.5.......9,1,25,33,20,2,0,4,0,3,6,Expert,
8..62..9...385.4.64..3.....3.....8.4.4.............37.52.9...3...7..8..2.8....6.9,1,27,53,1,1,0,0,0,0,0,Intermediate,
.6....7..9...41.2.3.5...4.1.....6......214....5..7..9....193.6.2.....5..........3,1,24,51,6,0,0,0,0,0,0,Easy,
9.5........8...537..6...8..3..2.6.58....1...27....96..6..5...7....7....98........,1,24,34,21,0,0,1,1,2,2,Expert,
..651......38.75...1.......6.93.2.8...8.952..2.................9.5...3768..9.....,1,25,48,8,0,0,0,0,0,0,Easy,
...3...29...19..68...5.841...283......3..2.5.8.54.96...2.......9...8....1......4.,1,27,31,20,1,1,4,1,3,4,Expert,
8.............3682...2.....9....1.....7.653....6.28.9.......7..7.8...965.69.7..1.,1,26,37,16,5,0,2,0,2,2,Expert,
....47.29.2....45..............7..858.1..23...9.....1.2..4..831..9.23....8...19..,1,27,30,23,0,0,0,0,1,0,Expert,
..5..83..8.695.....2...........24.9...1....6..5.3...1...26....14.9.12.......9....,1,24,42,12,1,0,3,3,3,8,Expert,
